,population
280,2600
281,860
282,3830
283,3500
284,2420
285,2720
286,2500
287,1670
288,2900
289,1640
290,1890
291,2950
292,2160
293,3280
294,1970
295,3360
296,1320
297,2650
298,2030
299,1590
300,4550
301,2440
302,1940
303,2040
304,2200
305,1920
306,1800
307,2180
308,1010
309,3320
310,2370
311,1660
312,3650
313,4290
314,4290
315,1950
316,2590
317,1930
318,1470
319,800
320,3150
321,2030
322,1450
323,1510
324,1240
325,1240
326,3030
327,2050
328,1000
329,2370
330,2800
331,2240
332,1810
333,1070
334,2490
335,1960
336,2930
337,1510
338,1420
339,1740
340,2560
341,3040
342,2500
343,1275
344,2580
345,1000
346,1000
347,1070
348,1390
349,2500
350,560
351,2270
352,1900
353,990
354,1550
355,2200
356,1910
357,1750
358,1330
359,2440
360,1640
361,2760
362,1820
363,2110
364,3040
365,1840
366,2990
367,3520
368,2440
369,2090
370,1430
371,2180
372,2180
373,3450
374,1450
375,3230
376,1640
377,1590
378,2020
379,1300
380,1380
381,4040
382,2130
383,2550
384,4800
385,2510
386,1410
387,1650
388,2120
389,2040
390,1550
391,1980
392,1600
393,3300
394,3840
395,1220
396,2720
397,1940
398,2160
399,1530
400,1710
401,3730
402,940
403,1750
404,1820
405,1510
406,1290
407,1570
408,1930
409,2840
410,1550
411,833
412,2990
413,2000
414,2390
415,2910
416,2085
417,2200
418,1860
419,6070
420,950
421,1600
422,2250
423,2280
424,940
425,1530
426,2190
427,2350
428,1440
429,2200
430,2290
431,4040
432,2610
433,1490
434,2450
435,1710
436,4870
437,3130
438,1270
439,2120
440,1670
441,2070
442,1420
443,1250
444,940
445,1920
446,3545
447,1260
448,2340
449,2590
450,3970
451,1220
452,1400
453,2360
454,1870
455,2830
456,2260
457,1970
458,3140
459,1240
460,3450
461,2570
462,1510
463,2390
464,980
465,430
466,1480
467,1850
468,2270
469,1810
470,1610
471,3840
472,4110
473,4190
474,3390
475,1890
476,1610
477,1050
478,630
479,2910
480,1700
481,1950
482,2990
483,1350
484,4860
485,2160
486,4860
487,890
488,2810
489,3400
490,1580
491,1680
492,1300
493,2820
494,1510
495,1230
496,2110
497,3080
498,1490
499,2120
500,3180
501,1490
502,1930
503,2770
504,1670
505,1330
506,1210
507,1190
508,1540
509,4030
510,2430
511,2600
512,4410
513,1330
514,1900
515,1100
516,1980
517,2400
518,4760
519,3180
520,1190
521,630
522,2530
523,1690
524,940
525,1240
526,3040
527,6050
528,1590
529,2500
530,1780
531,1360
532,4740
533,1010
534,1040
535,1610
536,1570
537,1510
538,1360
539,1970
540,5403
541,1560
542,2320
543,2120
544,2120
545,3350
546,2380
547,1070
548,2300
549,1320
550,2180
551,4380
552,1790
553,750
554,1300
555,2990
556,4640
557,1400
558,2750
559,2050
560,2230
561,2340
562,2870
563,4120
564,2080
565,1840
566,1180
567,2160
568,1180
569,1160
570,1830
571,3200
572,2560
573,2550
574,1330
575,1220
576,1805
577,6050
578,2320
579,1384
580,2720
581,1820
582,2130
583,2060
584,1420
585,1510
586,2160
587,3180
588,2110
589,2060
590,1830
591,1820
592,1610
593,1780
594,1840
595,1460
596,1400
597,3370
598,3590
599,3200
600,1670
601,2420
602,1430
603,1440
604,1450
605,3550
606,1270
607,940
608,1670
609,3100
610,1100
611,1870
612,1930
613,2540
614,1280
615,1820
616,1490
617,1880
618,1250
619,1440
620,1920
621,2060
622,1210
623,1760
624,990
625,960
626,1660
627,1900
628,1270
629,3250
630,960
631,1330
632,2080
633,2690
634,890
635,1070
636,1200
637,1360
638,2050
639,3000
640,1300
641,2250
642,3740
643,1660
644,2360
645,1760
646,1680
647,1320
648,870
649,1260
650,1000
651,2020
652,1920
653,2150
654,1470
655,3180
656,3930
657,990
658,2770
659,1250
660,1140
661,2250
662,1640
663,1255
664,1290
665,1300
666,1220
667,2630
668,1950
669,3160
670,1550
671,1700
672,2510
673,1800
674,1800
675,1870
676,1010
677,1120
678,2090
679,4370
680,1440
681,2580
682,3190
683,2380
684,1420
685,2990
686,2680
687,2730
688,1220
689,1500
690,1830
691,4570
692,2470
693,800
694,2900
695,1410
696,2830
697,1680
698,1760
699,2240
700,1380
701,820
702,2180
703,1400
704,880
705,1060
706,1530
707,2480
708,1490
709,3660
710,2340
711,1450
712,2210
713,1130
714,1550
715,1710
716,1010
717,2660
718,2660
719,1300
720,1670
721,960
722,4670
723,2140
724,2520
725,1650
726,1440
727,1050
728,1470
729,4230
730,1970
731,1540
732,2090
733,2380
734,2156
735,2070
736,1910
737,1920
738,3400
739,1400
740,2210
741,1170
742,2100
743,1160
744,1500
745,2940
746,2010
747,2170
748,1430
749,1510
750,1150
751,2150
752,1370
753,2380
754,1370
755,1600
756,3750
757,3950
758,2400
759,2830
760,2440
761,1190
762,1400
763,2730
764,2390
765,2060
766,2490
767,1100
768,2430
769,3170
770,2640
771,1130
772,1940
773,1100
774,1200
775,2000
776,1890
777,1910
778,2710
779,4860
780,1250
781,1590
782,1240
783,2000
784,3610
785,1930
786,1280
787,2090
788,1940
789,1800
790,1730
791,2810
792,3550
793,1330
794,750
795,1760
796,3200
797,1740
798,2100
799,4270
800,1340
801,3190
802,1630
803,2990
804,1550
805,1690
806,1960
807,2390
808,2600
809,1950
810,1250
811,1180
812,1680
813,2220
814,4890
815,2660
816,1150
817,1130
818,2760
819,1430
820,1490
821,2030
822,3010
823,1810
824,1810
825,970
826,2010
827,1300
828,1260
829,2610
830,1910
831,1780
832,1900
833,2450
834,1380
835,1920
836,1350
837,1350
838,2510
839,2470
840,1660
841,1340
842,1620
843,2300
844,2000
845,1640
846,1530
847,4000
848,1610
849,2070
850,1900
851,1050
852,1520
853,2390
854,2400
855,1790
856,1720
857,2980
858,1520
859,1150
860,380
861,910
862,1650
863,2480
864,2050
865,1420
866,3460
867,1500
868,1320
869,2180
870,1830
871,1620
872,2920
873,3300
874,3060
875,3064
876,1530
877,1910
878,1020
879,1150
880,1260
881,1920
882,1800
883,2040
884,2200
885,3200
886,2400
887,1140
888,1330
889,1940
890,3000
891,1820
892,2910
893,1090
894,1230
895,1710
896,3160
897,2680
898,2190
899,1260
900,2970
901,2570
902,3810
903,1010
904,1480
905,1250
906,1654
907,1410
908,2160
909,1400
910,1420
911,2500
912,1410
913,2100
914,1750
915,2070
916,1570
917,1920
918,1000
919,2120
920,1440
921,1660
922,1340
923,2380
924,1560
925,2780
926,1860
927,2390
928,1370
929,2570
930,1320
931,2520
932,1250
933,1560
934,2330
935,3660
936,2790
937,1060
938,2020
939,1580
940,2020
941,970
942,1490
943,4390
944,2750
945,2150
946,1810
947,2230
948,2430
949,3680
950,1410
951,1330
952,1490
953,2020
954,3130
955,2670
956,1980
957,2100
958,1350
959,2140
960,2208
961,1010
962,970
963,1520
964,2740
965,1570
966,1320
967,2550
968,1560
969,2360
970,1330
971,1070
972,1510
973,1710
974,2790
975,2620
976,2970
977,1050
978,1280
979,1030
980,1900
981,3070
982,1760
983,930
984,880
985,1360
986,2130
987,1480
988,1500
989,1670
990,2060
991,2160
992,2780
993,1490
994,740
995,1860
996,1590
997,850
998,1030
999,1850
1000,1830
1001,1560
1002,1730
1003,1930
1004,1422
1005,1380
1006,2430
1007,2610
1008,2000
1009,920
1010,1750
1011,2020
1012,2460
1013,1780
1014,1080
1015,1250
1016,1870
1017,1700
1018,1480
1019,1930
1020,3130
1021,1370
1022,960
1023,1260
1024,1480
1025,1930
1026,870
1027,1300
1028,1490
1029,1380
1030,1190
1031,4250
1032,1920
1033,2080
1034,3220
1035,3680
1036,2070
1037,1480
1038,2000
1039,1560
1040,1600
1041,1940
1042,1540
1043,820
1044,1780
1045,1560
1046,2210
1047,2040
1048,1920
1049,1930
1050,1700
1051,3450
1052,3440
1053,2380
1054,2400
1055,5670
1056,1140
1057,1670
1058,1910
1059,1560
1060,1500
1061,4475
1062,2840
1063,1020
1064,1410
1065,1520
1066,730
1067,1190
1068,1410
1069,1240
1070,2500
1071,1050
1072,2680
1073,2380
1074,1060
1075,2300
1076,2010
1077,1090
1078,2320
1079,1040
1080,1810
1081,1150
1082,2360
1083,1970
1084,2690
1085,2080
1086,2080
1087,1370
1088,3410
1089,1850
1090,3010
1091,1530
1092,2690
1093,2810
1094,1810
1095,1560
1096,1010
1097,1000
1098,990
1099,720
1100,6070
1101,2270
1102,1380
1103,1260
1104,2910
1105,1810
1106,3160
1107,1910
1108,1230
1109,2960
1110,2200
1111,1270
1112,2540
1113,3030
1114,1520
1115,1560
1116,970
1117,3570
1118,1350
1119,3710
1120,1430
1121,940
1122,4300
1123,3990
1124,1380
1125,2020
1126,1480
1127,1190
1128,2550
1129,2550
1130,1500
1131,3000
1132,1690
1133,4390
1134,1560
1135,2940
1136,1130
1137,1020
1138,1310
1139,2570
1140,2020
1141,1680
1142,1770
1143,3190
1144,1440
1145,1150
1146,1860
1147,2430
1148,1940
1149,670
1150,880
1151,1930
1152,3120
1153,1830
1154,3230
1155,700
1156,1010
1157,2460
1158,2230
1159,1570
1160,2390
1161,3460
1162,2400
1163,2940
1164,8010
1165,1570
1166,1520
1167,1070
1168,440
1169,2440
1170,2660
1171,4460
1172,2010
1173,1450
1174,1400
1175,1500
1176,2500
1177,1280
1178,3380
1179,2910
1180,3060
1181,1330
1182,3300
1183,3250
1184,2530
1185,1830
1186,1170
1187,2930
1188,1230
1189,1620
1190,1760
1191,1440
1192,1740
1193,1270
1194,880
1195,2560
1196,1540
1197,1150
1198,770
1199,4610
1200,1850
1201,1840
1202,1490
1203,1490
1204,960
1205,1580
1206,1260
1207,1940
1208,2490
1209,2520
1210,1760
1211,4190
1212,1170
1213,1600
1214,2760
1215,2090
1216,2320
1217,4110
1218,770
1219,1410
1220,3660
1221,2180
1222,1110
1223,2280
1224,2820
1225,1570
1226,1200
1227,1710
1228,3000
1229,2800
1230,1640
1231,2030
1232,2530
1233,990
1234,790
1235,790
1236,1800
1237,1650
1238,1980
1239,2340
1240,2790
1241,2800
1242,1840
1243,1350
1244,3030
1245,1980
1246,3690
1247,3732
1248,1510
1249,2000
1250,1760
1251,1270
1252,2620
1253,2630
1254,2270
1255,2410
1256,1120
1257,3030
1258,2120
1259,1720
1260,2150
1261,4380
1262,2010
1263,3150
1264,2500
1265,1690
1266,3300
1267,1240
1268,2200
1269,1620
1270,2420
1271,2680
1272,4250
1273,2400
1274,2300
1275,920
1276,2350
1277,2630
1278,2170
1279,1700
1280,2470
1281,1250
1282,3110
1283,1530
1284,960
1285,1240
1286,2440
1287,2320
1288,1580
1289,2963
1290,2470
1291,1370
1292,960
1293,1130
1294,4930
1295,1150
1296,2190
1297,1490
1298,2600
1299,1530
1300,1680
1301,1680
1302,1900
1303,1570
1304,1370
1305,1350
1306,3010
1307,1010
1308,2050
1309,1670
1310,3840
1311,2220
1312,2590
1313,1180
1314,2950
1315,7390
1316,2150
1317,2100
1318,1650
1319,1620
1320,1750
1321,1380
1322,1510
1323,1600
1324,1840
1325,830
1326,1810
1327,910
1328,2120
1329,2510
1330,2100
1331,2690
1332,2430
1333,2452
1334,1550
1335,2080
1336,1290
1337,1850
1338,3370
1339,2730
1340,1300
1341,3040
1342,2440
1343,1720
1344,3230
1345,1200
1346,2350
1347,3100
1348,2040
1349,2000
1350,2160
1351,1970
1352,2270
1353,1850
1354,1350
1355,3280
1356,2270
1357,2820
1358,1200
1359,2000
1360,2310
1361,4640
1362,2330
1363,3940
1364,1440
1365,1960
1366,1250
1367,1981
1368,2440
1369,1150
1370,1120
1371,1800
1372,2380
1373,2920
1374,2790
1375,1560
1376,1550
1377,1700
1378,640
1379,2680
1380,1860
1381,1490
1382,2470
1383,2390
1384,1230
1385,2840
1386,2120
1387,1770
1388,2495
1389,1170
1390,2740
1391,1050
1392,1130
1393,880
1394,2403
1395,3410
1396,5320
1397,1900
1398,1810
1399,1200
1400,2060
1401,1250
1402,910
1403,2560
1404,1920
1405,2240
1406,1260
1407,1360
1408,2100
1409,2110
1410,2210
1411,2360
1412,1280
1413,2740
1414,2740
1415,2630
1416,1650
1417,1770
1418,1500
1419,1430
1420,3190
1421,1280
1422,2390
1423,4040
1424,920
1425,2730
1426,1320
1427,2620
1428,3180
1429,2900
1430,1900
1431,1760
1432,760
1433,3710
1434,1530
1435,1990
1436,3830
1437,2040
1438,2170
1439,1620
1440,3600
1441,1470
1442,1760
1443,2230
1444,3770
1445,1200
1446,2090
1447,1500
1448,8000
1449,870
1450,1010
1451,1010
1452,1860
1453,1330
1454,1760
1455,1800
1456,1690
1457,660
1458,2400
1459,3020
1460,1500
1461,1560
1462,1090
1463,970
1464,3190
1465,3190
1466,1890
1467,1050
1468,1390
1469,1700
1470,1050
1471,3340
1472,1540
1473,1710
1474,2100
1475,1730
1476,1500
1477,2380
1478,2180
1479,1840
1480,2341
1481,1690
1482,2490
1483,2440
1484,920
1485,1030
1486,2000
1487,4210
1488,1610
1489,1910
1490,2660
1491,820
1492,1730
1493,2360
1494,970
1495,2460
1496,2690
1497,1820
1498,3470
1499,3370
1500,1700
1501,1340
1502,2000
1503,3840
1504,3890
1505,1220
1506,2280
1507,2770
1508,2520
1509,3060
1510,2390
1511,1320
1512,2900
1513,700
1514,2210
1515,2180
1516,2080
1517,2090
1518,1720
1519,2460
1520,1470
1521,1650
1522,1690
1523,970
1524,2030
1525,2540
1526,1570
1527,2580
1528,2090
1529,3260
1530,3830
1531,2130
1532,1690
1533,1780
1534,1620
1535,4210
1536,2980
1537,1490
1538,2110
1539,6563
1540,1510
1541,1830
1542,1230
1543,2180
1544,2220
1545,1730
1546,1990
1547,1540
1548,1100
1549,1640
1550,2590
1551,1450
1552,1180
1553,1820
1554,2360
1555,1120
1556,1646
1557,4210
1558,2480
1559,1590
1560,2130
1561,1650
1562,3090
1563,2180
1564,1800
1565,3720
1566,1100
1567,1530
1568,3010
1569,3500
1570,3100
1571,2000
1572,2290
1573,2400
1574,1850
1575,3680
1576,1060
1577,1060
1578,1610
1579,2330
1580,1210
1581,1530
1582,2270
1583,2590
1584,1850
1585,1500
1586,4740
1587,1710
1588,1920
1589,1150
1590,2320
1591,1420
1592,1550
1593,2920
1594,1620
1595,2300
1596,1070
1597,1790
1598,1510
1599,1340
1600,3350
1601,2500
1602,2350
1603,2550
1604,1320
1605,1270
1606,3480
1607,2820
1608,2110
1609,1100
1610,1920
1611,1890
1612,2530
1613,2550
1614,1550
1615,1760
1616,1270
1617,1250
1618,1620
1619,710
1620,1070
1621,2320
1622,5450
1623,1670
1624,3010
1625,1340
1626,790
1627,3400
1628,1530
1629,930
1630,1540
1631,1990
1632,2300
1633,1220
1634,2380
1635,2020
1636,1890
1637,1330
1638,1490
1639,3550
1640,2040
1641,2380
1642,1780
1643,1650
1644,1510
1645,1100
1646,2190
1647,1760
1648,1800
1649,2000
1650,990
1651,1480
1652,1200
1653,3000
1654,3504
1655,1300
1656,1330
1657,1850
1658,2240
1659,1260
1660,2800
1661,1820
1662,1730
1663,3350
1664,3370
1665,1240
1666,2340
1667,1880
1668,1810
1669,2340
1670,2820
1671,1020
1672,2090
1673,1830
1674,2980
1675,1600
1676,4440
1677,1200
1678,1230
1679,2930
1680,2370
1681,3040
1682,1610
1683,2350
1684,2000
1685,3530
1686,2220
1687,2000
1688,1210
1689,1140
1690,2440
1691,1560
1692,3210
1693,930
1694,1782
1695,1740
1696,3690
1697,2930
1698,1230
1699,2000
1700,1520
1701,1040
1702,1120
1703,3020
1704,1820
1705,1370
1706,3130
1707,1640
1708,2650
1709,2850
1710,1820
1711,1180
1712,1880
1713,1280
1714,3120
1715,2470
1716,1700
1717,1180
1718,2800
1719,1300
1720,3040
1721,1630
1722,1340
1723,1830
1724,1240
1725,2500
1726,1760
1727,2660
1728,2060
1729,2540
1730,4830
1731,1400
1732,4280
1733,2230
1734,680
1735,2340
1736,2070
1737,1910
1738,950
1739,2910
1740,2930
1741,2610
1742,3880
1743,3320
1744,1940
1745,2510
1746,2660
1747,1710
1748,1320
1749,960
1750,1790
1751,950
1752,2940
1753,930
1754,4570
1755,2370
1756,3430
1757,3540
1758,2240
1759,2710
1760,2660
1761,2540
1762,2210
1763,3570
1764,3450
1765,2330
1766,1690
1767,1030
1768,2560
1769,1950
1770,4370
1771,2350
1772,3160
1773,2430
1774,1340
1775,1010
1776,1770
1777,1210
1778,3330
1779,1240
1780,1250
1781,2960
1782,840
1783,1530
1784,3750
1785,2150
1786,1560
1787,2040
1788,860
1789,1720
1790,2090
1791,2130
1792,1300
1793,1220
1794,2420
1795,2940
1796,2610
1797,1880
1798,2330
1799,2200
1800,1720
1801,2250
1802,1640
1803,4130
1804,2600
1805,1920
1806,2060
1807,5710
1808,2720
1809,1490
1810,2360
1811,1940
1812,2570
1813,1160
1814,2660
1815,1260
1816,1780
1817,3180
1818,3380
1819,2690
1820,1180
1821,1660
1822,2260
1823,1910
1824,2430
1825,1300
1826,1060
1827,2200
1828,1720
1829,2360
1830,820
1831,1030
1832,2030
1833,2700
1834,1100
1835,3620
1836,1340
1837,1790
1838,3830
1839,1580
1840,2020
1841,3330
1842,2610
1843,2610
1844,1740
1845,1840
1846,1080
1847,1240
1848,5620
1849,1170
1850,1760
1851,2230
1852,1520
1853,1450
1854,1600
1855,3220
1856,1830
1857,2200
1858,2170
1859,1900
1860,2960
1861,1710
1862,2620
1863,2140
1864,2100
1865,2100
1866,1460
1867,990
1868,2190
1869,3990
1870,2340
1871,2460
1872,2080
1873,1700
1874,1330
1875,1630
1876,2920
1877,2830
1878,3190
1879,1490
1880,1630
1881,2280
1882,3010
1883,1590
1884,1250
1885,1710
1886,3280
1887,3362
1888,2200
1889,830
1890,2160
1891,2580
1892,2150
1893,3510
1894,3810
1895,2020
1896,2120
1897,1250
1898,980
1899,1250
1900,1100
1901,1330
1902,2560
1903,1850
1904,2790
1905,1660
1906,1080
1907,3030
1908,2380
1909,2250
1910,880
1911,2770
1912,1340
1913,1660
1914,1710
1915,1620
1916,1530
1917,1440
1918,2020
1919,1870
1920,620
1921,5774
1922,1240
1923,1890
1924,2410
1925,1530
1926,2800
1927,1460
1928,1580
1929,1450
1930,1990
1931,4470
1932,1980
1933,2920
1934,1660
1935,3190
1936,1560
1937,3050
1938,3030
1939,2260
1940,1260
1941,3370
1942,1490
1943,1570
1944,4490
1945,4090
1946,4150
1947,2900
1948,1430
1949,1008
1950,1480
1951,1240
1952,1370
1953,1770
1954,2160
1955,2340
1956,960
1957,2280
1958,1970
1959,1530
1960,1790
1961,1700
1962,2660
1963,1950
1964,1340
1965,1130
1966,1950
1967,3790
1968,2020
1969,800
1970,1770
1971,940
1972,2260
1973,890
1974,860
1975,680
1976,2130
1977,2390
1978,3488
1979,1260
1980,2940
1981,2440
1982,2600
1983,2080
1984,1990
1985,2840
1986,2630
1987,2820
1988,1560
1989,2330
1990,3320
1991,1730
1992,3110
1993,1230
1994,950
1995,1890
1996,1010
1997,1010
1998,2340
1999,2460
2000,1010
2001,1650
2002,1440
2003,1710
2004,2760
2005,1350
2006,1660
2007,2960
2008,1090
2009,3110
2010,1380
2011,1290
2012,1980
2013,870
2014,2470
2015,2140
2016,770
2017,1490
2018,2510
2019,1950
2020,3600
2021,2380
2022,720
2023,4070
2024,1250
2025,2190
2026,810
2027,2440
2028,1740
2029,1480
2030,2120
2031,900
2032,1190
2033,1010
2034,2100
2035,2020
2036,2520
2037,1370
2038,1530
2039,1530
2040,5040
2041,2530
2042,1010
2043,1200
2044,2720
2045,1850
2046,2340
2047,1860
2048,1940
2049,1680
2050,1770
2051,1790
2052,1720
2053,1280
2054,1690
2055,2190
2056,710
2057,1890
2058,1410
2059,2210
2060,1540
2061,1350
2062,1380
2063,890
2064,1900
2065,1240
2066,1730
2067,2090
2068,1650
2069,1130
2070,3240
2071,3840
2072,1200
2073,870
2074,2410
2075,1560
2076,2410
2077,2300
2078,1390
2079,2920
2080,1370
2081,950
2082,3090
2083,2390
2084,2070
2085,5770
2086,1460
2087,1510
2088,5180
2089,3430
2090,1700
2091,2640
2092,1200
2093,1850
2094,1510
2095,2130
2096,2640
2097,3000
2098,1870
2099,990
2100,2005
2101,2030
2102,1500
2103,1530
2104,1990
2105,1420
2106,1400
2107,1870
2108,3040
2109,1790
2110,1590
2111,2050
2112,4220
2113,4030
2114,1770
2115,2100
2116,2120
2117,2600
2118,2400
2119,3180
2120,2790
2121,2080
2122,1370
2123,2790
2124,1740
2125,6400
2126,1800
2127,1800
2128,1190
2129,860
2130,2460
2131,1980
2132,670
2133,1410
2134,1860
2135,980
2136,3040
2137,1810
2138,1560
2139,2100
2140,2500
2141,520
2142,3010
2143,2140
2144,2390
2145,1510
2146,2210
2147,2170
2148,1790
2149,1390
2150,1850
2151,1480
2152,1850
2153,3350
2154,1040
2155,2810
2156,1010
2157,2250
2158,1800
2159,2400
2160,1780
2161,2120
2162,1860
2163,1460
2164,1230
2165,1088
2166,800
2167,1190
2168,1940
2169,3300
2170,2590
2171,2080
2172,2680
2173,1670
2174,1830
2175,1400
2176,2770
2177,3630
2178,1040
2179,2690
2180,2020
2181,2450
2182,2030
2183,1450
2184,2400
2185,2870
2186,1340
2187,1680
2188,1850
2189,1220
2190,2320
2191,3220
2192,3190
2193,3530
2194,2050
2195,1720
2196,2850
2197,2270
2198,1880
2199,2770
2200,4490
2201,3110
2202,2360
2203,2180
2204,1910
2205,2260
2206,1770
2207,1460
2208,2080
2209,2960
2210,3220
2211,1140
2212,1660
2213,1430
2214,1820
2215,3540
2216,1620
2217,3100
2218,1500
2219,2820
2220,1850
2221,1570
2222,2300
2223,920
2224,1600
2225,2630
2226,3020
2227,1490
2228,1160
2229,2040
2230,1550
2231,1990
2232,1900
2233,3840
2234,2400
2235,1660
2236,6055
2237,2030
2238,840
2239,1450
2240,1460
2241,2010
2242,2910
2243,1880
2244,2170
2245,1260
2246,1970
2247,2090
2248,3450
2249,1130
2250,2600
2251,1030
2252,1700
2253,1480
2254,4250
2255,1600
2256,1870
2257,1440
2258,2720
2259,1240
2260,1020
2261,1180
2262,3080
2263,1750
2264,2530
2265,1580
2266,2340
2267,6300
2268,2400
2269,1300
2270,1760
2271,1520
2272,1070
2273,2560
2274,1280
2275,1660
2276,1860
2277,950
2278,2140
2279,1480
2280,2260
2281,2300
2282,1650
2283,1990
2284,1960
2285,1310
2286,2450
2287,910
2288,1580
2289,1780
2290,1040
2291,2340
2292,1720
2293,1600
2294,1320
2295,2350
2296,2740
2297,2300
2298,4350
2299,1430
2300,2400
2301,940
2302,1020
2303,1680
2304,1340
2305,3960
2306,2650
2307,2120
2308,2850
2309,2850
2310,1870
2311,2660
2312,1190
2313,1770
2314,2770
2315,2080
2316,2700
2317,2200
2318,2160
2319,2010
2320,3780
2321,4460
2322,1770
2323,1430
2324,1700
2325,1830
2326,1410
2327,3060
2328,1820
2329,2430
2330,740
2331,770
2332,2200
2333,2920
2334,2040
2335,1600
2336,1990
2337,1830
2338,2540
2339,2700
2340,1440
2341,1550
2342,2490
2343,2650
2344,2000
2345,3440
2346,2280
2347,1320
2348,2070
2349,1860
2350,940
2351,2290
2352,1510
2353,1830
2354,3090
2355,4340
2356,3200
2357,1560
2358,1280
2359,2020
2360,1040
2361,2260
2362,860
2363,1920
2364,2290
2365,2070
2366,4250
2367,2220
2368,1840
2369,2590
2370,3110
2371,2600
2372,1060
2373,1250
2374,2520
2375,2070
2376,1300
2377,2190
2378,2760
2379,1710
2380,1750
2381,1552
2382,2350
2383,5110
2384,1720
2385,1960
2386,1270
2387,1180
2388,2230
2389,4700
2390,2150
2391,2400
2392,1830
2393,2800
2394,2090
2395,2340
2396,1670
2397,1990
2398,2270
2399,4910
2400,950
2401,1610
2402,1940
2403,1210
2404,2570
2405,1700
2406,1610
2407,4120
2408,2880
2409,1990
2410,1260
2411,4750
2412,3010
2413,2410
2414,1280
2415,2320
2416,1220
2417,1400
2418,1590
2419,2220
2420,2770
2421,2303
2422,1600
2423,1280
2424,2900
2425,2950
2426,1700
2427,1050
2428,2990
2429,3100
2430,1240
2431,780
2432,850
2433,1540
2434,2280
2435,2550
2436,1770
2437,2320
2438,2600
2439,1570
2440,3060
2441,1960
2442,3270
2443,1090
2444,6840
2445,940
2446,3880
2447,1770
2448,3640
2449,3160
2450,1590
2451,1290
2452,3655
2453,2490
2454,1470
2455,3960
2456,3190
2457,810
2458,2980
2459,2780
2460,1340
2461,4930
2462,1360
2463,1320
2464,1210
2465,1940
2466,3160
2467,1980
2468,2320
2469,1660
2470,1660
2471,1080
2472,1510
2473,2950
2474,3070
2475,970
2476,2140
2477,2570
2478,1260
2479,1220
2480,1720
2481,2140
2482,1420
2483,2060
2484,1320
2485,1810
2486,2980
2487,1350
2488,1540
2489,2510
2490,1670
2491,3690
2492,1320
2493,1510
2494,1510
2495,1870
2496,2400
2497,2400
2498,1170
2499,1190
2500,2080
2501,2150
2502,1580
2503,1580
2504,2370
2505,1840
2506,2660
2507,2190
2508,1660
2509,1780
2510,700
2511,1570
2512,1220
2513,3150
2514,2690
2515,680
2516,3750
2517,1010
2518,1710
2519,2090
2520,1560
2521,1560
2522,2570
